Sample,Species,Host,Country
SRX5400167,BADGER-UK,RESERVOIR,United Kingdom
SRX5400166,BADGER-UK,RESERVOIR,United Kingdom
SRX5400165,BADGER-UK,RESERVOIR,United Kingdom
SRX5400164,BADGER-UK,RESERVOIR,United Kingdom
SRX5400163,BADGER-UK,RESERVOIR,United Kingdom
SRX5400162,BADGER-UK,RESERVOIR,United Kingdom
SRX5400161,BADGER-UK,RESERVOIR,United Kingdom
SRX5400160,BADGER-UK,RESERVOIR,United Kingdom
SRX5400159,BADGER-UK,RESERVOIR,United Kingdom
SRX5400158,BADGER-UK,RESERVOIR,United Kingdom
SRX5400157,BADGER-UK,RESERVOIR,United Kingdom
SRX5400156,BADGER-UK,RESERVOIR,United Kingdom
SRX5400155,BADGER-UK,RESERVOIR,United Kingdom
SRX5400154,BADGER-UK,RESERVOIR,United Kingdom
SRX5400153,BADGER-UK,RESERVOIR,United Kingdom
SRX5400152,BADGER-UK,RESERVOIR,United Kingdom
SRX5400151,BADGER-UK,RESERVOIR,United Kingdom
SRX5400150,BADGER-UK,RESERVOIR,United Kingdom
SRX5400149,BADGER-UK,RESERVOIR,United Kingdom
SRX5400148,BADGER-UK,RESERVOIR,United Kingdom
SRX5400147,BADGER-UK,RESERVOIR,United Kingdom
SRX5400146,BADGER-UK,RESERVOIR,United Kingdom
SRX5400145,BADGER-UK,RESERVOIR,United Kingdom
SRX5400144,BADGER-UK,RESERVOIR,United Kingdom
SRX5400143,BADGER-UK,RESERVOIR,United Kingdom
SRX5400142,BADGER-UK,RESERVOIR,United Kingdom
SRX5400141,BADGER-UK,RESERVOIR,United Kingdom
SRX5400140,BADGER-UK,RESERVOIR,United Kingdom
SRX5400139,BADGER-UK,RESERVOIR,United Kingdom
SRX5400138,BADGER-UK,RESERVOIR,United Kingdom
SRX5400137,BADGER-UK,RESERVOIR,United Kingdom
SRX5400136,BADGER-UK,RESERVOIR,United Kingdom
SRX5400135,BADGER-UK,RESERVOIR,United Kingdom
SRX5400134,BADGER-UK,RESERVOIR,United Kingdom
SRX5400133,BADGER-UK,RESERVOIR,United Kingdom
SRX5400132,BADGER-UK,RESERVOIR,United Kingdom
SRX5400131,BADGER-UK,RESERVOIR,United Kingdom
SRX5400130,BADGER-UK,RESERVOIR,United Kingdom
SRX5400129,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400128,BOVINE-UK,RESERVOIR,United Kingdom
