Sample,Species,Host,Country,Domesticated,
SRX2527100,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527101,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527102,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527103,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527104,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527105,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527106,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527107,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527108,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527109,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527110,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527111,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527112,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527113,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527114,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527115,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527116,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527118,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527119,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527120,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527121,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527122,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527123,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527124,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527125,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527126,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527127,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527128,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527129,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527130,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527132,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527133,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527134,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527135,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527136,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527137,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527138,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527139,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527140,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527141,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527142,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527143,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527144,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527145,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527146,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527147,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527148,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527149,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527150,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527151,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
